training_error,validation_error,testing_error,nNodes
0.625,0.625,0.8,0
0.28125,0.1875,0.3,1
0.140625,0.25,0.15,2
0.109375,0.1875,0.15,3
0.109375,0.1875,0.15,4
0.078125,0.25,0.15,5
0.078125,0.25,0.15,6
0.078125,0.1875,0.15,7
0.078125,0.1875,0.15,8
0.0625,0.1875,0.15,9
0.0625,0.1875,0.15,10
0.0625,0.1875,0.15,11
0.046875,0.1875,0.15,12
0.03125,0.1875,0.15,13
0.015625,0.1875,0.15,14
0.015625,0.1875,0.15,15
0.015625,0.1875,0.15,16
0.015625,0.1875,0.15,17
0.015625,0.1875,0.15,18
0.046875,0.125,0.15,17
